listing_id,zone,property_type,size_m2,bedrooms,bathrooms,age_years,floor,has_elevator,distance_to_business_km,distance_to_transit_km,view_quality,noise_level,has_security,has_pool,has_gym,has_social,furnished,balcony,garden,parking_spaces,pet_friendly,rent_price_gtq,price_per_m2,age_bucket,is_premium_zone
17,Zona 13,Apartamento,47,2,1,3,9,1,1.81,2.07,1,5,1,0,1,0,0,1,0,1,1,5741.65,122.16,0-5,0
18,Zona 9,Apartamento,57,2,1,25,3,1,1.13,1.3,4,1,1,0,0,0,1,0,0,0,0,6771.66,118.8,16-30,0
19,Zona 15,Casa,161,5,3,0,0,0,2.92,1.57,3,3,0,1,0,1,0,0,0,1,0,20282.51,125.98,0-5,1
20,Zona 10,Apartamento,86,3,1,0,18,1,0.92,2.42,2,3,1,1,0,0,0,0,0,1,1,12798.93,148.82,0-5,1
21,Zona 14,Apartamento,102,4,2,15,15,1,1.54,1.03,3,4,1,1,0,0,1,1,0,0,1,14914.42,146.22,6-15,1
22,Zona 9,Apartamento,92,3,2,21,9,1,0.83,0.2,2,4,1,1,1,1,0,1,0,1,1,11476.38,124.74,16-30,0
23,Zona 14,Apartamento,78,3,2,9,10,1,1.27,1.72,4,2,1,1,0,1,0,0,0,1,0,12952.55,166.06,6-15,1
24,Carretera al Salvador,Apartamento,96,3,3,15,9,1,7.42,0.85,2,5,1,1,1,0,1,0,0,2,1,10226.03,106.52,6-15,0
25,Zona 4,Apartamento,79,3,2,17,1,1,1.85,2.46,1,5,1,0,1,1,0,0,0,0,0,8215.51,103.99,16-30,0
26,Zona 10,Apartamento,63,2,1,17,12,1,0.87,1.38,1,5,1,0,1,1,1,0,0,1,0,8752.21,138.92,16-30,1
27,Zona 13,Casa,126,4,3,11,0,0,3.22,2.87,2,4,0,1,0,0,1,1,0,1,1,12605.61,100.04,6-15,0
28,Zona 10,Apartamento,55,2,1,0,5,1,2.6,0.2,1,5,1,1,0,0,0,0,0,0,1,7720.12,140.37,0-5,1
29,Zona 9,Apartamento,64,2,1,14,6,1,1.93,1.89,3,2,1,0,1,0,0,0,1,0,0,8088.51,126.38,6-15,0
30,Zona 9,Apartamento,57,2,1,24,1,1,1.17,2.43,5,3,1,1,0,0,1,1,0,1,1,7290.78,127.91,16-30,0
31,Carretera al Salvador,Casa,138,4,3,7,0,0,6.62,2.35,3,4,1,0,0,0,0,1,0,1,0,12927.56,93.68,6-15,0
32,Zona 14,Apartamento,56,2,1,9,16,1,0.2,1.91,5,1,0,0,1,1,0,1,0,1,1,10179.87,181.78,6-15,1
33,Zona 5,Apartamento,92,3,2,16,4,1,4.7,1.79,3,4,1,0,0,0,0,0,0,1,0,7402.53,80.46,16-30,0
34,Zona 10,Apartamento,35,1,1,10,18,1,1.52,1.19,4,2,1,1,1,1,1,0,0,1,1,6199.37,177.12,6-15,1
35,Zona 15,Apartamento,78,3,2,11,5,1,2.86,2.25,5,1,1,1,1,0,0,1,0,0,1,11740.69,150.52,6-15,1
36,Zona 10,Apartamento,35,1,1,2,2,1,0.2,3.04,4,2,1,1,0,1,1,0,0,1,0,6438.78,183.97,0-5,1
37,Carretera al Salvador,Apartamento,96,3,3,23,6,1,9.08,2.21,4,2,1,0,1,1,0,0,0,2,0,9901.42,103.14,16-30,0
38,Zona 10,Apartamento,104,4,4,14,7,1,0.9,2.1,2,3,1,0,0,1,1,0,0,1,0,14130.85,135.87,6-15,1
39,Zona 16,Casa,201,6,5,10,0,0,3.68,2.42,5,2,0,0,0,1,0,1,0,0,0,23108.69,114.97,6-15,0
40,Zona 16,Casa,151,4,3,10,0,0,5.14,3.85,3,4,1,0,0,0,1,0,0,0,1,16099.06,106.62,6-15,0
41,Zona 16,Apartamento,142,5,5,20,2,1,4.53,1.32,2,4,0,0,1,1,0,1,1,1,1,15188.89,106.96,16-30,0
42,Zona 14,Apartamento,61,2,1,2,3,1,1.96,0.2,4,3,0,0,1,1,0,1,0,1,0,9814.38,160.89,0-5,1
43,Zona 10,Apartamento,57,2,1,8,1,1,0.88,2.63,1,5,1,1,0,1,0,1,0,1,0,7675.98,134.67,6-15,1
44,Zona 5,Apartamento,92,3,3,28,2,0,3.37,3.89,2,4,0,0,0,1,0,1,0,1,0,6957.15,75.62,16-30,0
45,Zona 18,Casa,195,6,5,23,0,0,5.72,2.5,1,3,1,0,1,1,0,1,0,2,1,11758.34,60.3,16-30,0
46,Zona 7,Apartamento,72,3,3,38,3,0,3.91,3.03,4,2,0,0,1,0,0,0,1,0,1,5313.48,73.8,30+,0
47,Zona 15,Casa,194,6,5,0,0,0,2.26,1.77,4,4,1,0,1,1,0,0,1,0,0,24695.44,127.3,0-5,1
48,Carretera al Salvador,Casa,154,4,3,25,0,0,8.3,1.09,4,1,1,0,0,0,0,1,0,1,0,14237.53,92.45,16-30,0
49,Zona 10,Apartamento,65,2,2,14,6,1,1.16,0.75,4,3,1,0,0,0,0,1,0,2,0,9569.91,147.23,6-15,1
50,Zona 7,Casa,91,3,3,24,0,0,4.59,4.4,1,5,0,0,1,0,0,0,0,0,0,5509.6,60.55,16-30,0
51,Carretera al Salvador,Casa,208,6,5,28,0,0,6.73,1.38,2,5,1,1,1,0,0,1,0,0,1,16904.05,81.27,16-30,0
52,Zona 10,Apartamento,79,3,2,12,13,1,0.48,2.3,4,4,1,1,0,1,0,0,0,1,0,12073.68,152.83,6-15,1
53,Zona 16,Apartamento,94,3,2,0,4,1,4.91,1.87,5,1,0,0,1,0,0,1,0,1,0,13013.54,138.44,0-5,0
54,Zona 13,Apartamento,80,3,3,17,8,1,2.53,2.12,1,4,1,0,0,0,0,1,0,2,1,8708.82,108.86,16-30,0
55,Zona 9,Apartamento,80,3,2,27,3,1,0.37,0.2,1,3,1,0,1,0,0,1,0,2,0,8430.99,105.39,16-30,0
56,Zona 5,Casa,113,3,2,7,0,0,2.44,2.97,1,4,1,0,0,0,0,0,0,1,1,8958.22,79.28,6-15,0
57,Zona 4,Apartamento,82,3,3,27,2,1,1.61,1.58,3,3,0,1,1,0,0,0,1,0,1,8431.51,102.82,16-30,0
58,Zona 15,Apartamento,100,4,3,5,9,1,3.13,1.39,4,2,1,1,1,0,0,0,0,2,1,15224.32,152.24,0-5,1
59,Zona 14,Casa,82,2,1,14,0,0,2.04,1.26,3,2,1,1,1,1,1,0,0,2,1,12690.91,154.77,6-15,1
60,Carretera al Salvador,Casa,162,5,4,12,0,0,7.91,1.45,5,2,1,0,1,1,0,1,1,1,0,17430.32,107.59,6-15,0
61,Zona 16,Casa,125,4,3,6,0,0,2.94,2.18,5,1,1,0,1,0,0,1,0,1,0,15787.14,126.3,6-15,0
62,Carretera al Salvador,Casa,183,5,3,12,0,0,7.2,3.31,2,3,1,0,0,1,1,0,0,1,0,16718.47,91.36,6-15,0
63,Zona 15,Apartamento,118,4,3,15,9,1,1.23,2.09,5,1,1,0,1,0,0,0,1,2,1,17600.87,149.16,6-15,1
64,Zona 13,Casa,148,4,4,42,0,0,3.23,2.1,1,4,1,0,1,1,0,0,0,1,0,12487.91,84.38,30+,0
65,Zona 10,Apartamento,62,2,1,8,13,1,0.2,1.95,4,2,1,0,1,1,0,0,1,2,0,10576.99,170.6,6-15,1
66,Carretera al Salvador,Casa,208,6,5,0,0,0,9.18,1.71,5,1,1,0,0,1,1,1,0,0,0,23488.84,112.93,0-5,0
67,Zona 7,Casa,177,5,4,16,0,0,3.25,3.33,5,2,1,1,0,0,0,0,1,1,0,14400.14,81.36,16-30,0
68,Zona 15,Casa,141,4,3,24,0,0,1.19,2.41,3,1,1,0,1,1,0,1,0,0,1,16654.24,118.12,16-30,1
69,Zona 16,Apartamento,59,2,2,10,4,1,5.17,2.1,5,2,1,0,0,0,0,1,0,1,0,8167.56,138.43,6-15,0
70,Zona 18,Apartamento,93,3,3,6,4,1,7.68,0.89,1,5,1,0,0,1,0,0,0,1,1,6546.15,70.39,6-15,0
71,Zona 13,Apartamento,70,2,2,5,6,1,1.58,2.84,3,4,1,1,1,1,0,0,1,0,0,8938.37,127.69,0-5,0
72,Zona 16,Apartamento,47,2,1,12,2,1,2.99,0.2,5,2,1,1,1,1,0,0,0,1,0,6958.54,148.05,6-15,0
73,Zona 10,Apartamento,83,3,3,14,6,1,1.67,1.41,1,5,1,0,1,1,0,0,0,2,0,10564.12,127.28,6-15,1
74,Zona 15,Apartamento,56,2,1,8,7,1,1.58,1.35,4,2,1,0,1,1,0,1,0,1,0,7967.78,142.28,6-15,1
75,Zona 14,Apartamento,78,3,2,0,18,1,1.1,0.2,1,4,1,1,1,0,1,1,0,1,1,12487.77,160.1,0-5,1
76,Zona 5,Casa,100,3,2,22,0,0,4.59,2.66,4,2,1,0,1,0,0,1,0,0,1,8317.25,83.17,16-30,0
77,Zona 14,Apartamento,59,2,2,0,17,1,2.47,1.54,5,1,1,1,1,1,0,1,0,2,0,11641.69,197.32,0-5,1
78,Zona 13,Casa,70,2,2,18,0,0,3.44,2.04,2,5,1,0,0,0,0,1,1,1,1,6972.39,99.61,16-30,0
79,Carretera al Salvador,Apartamento,91,3,1,19,3,0,7.44,2.12,2,4,0,0,0,0,0,1,0,1,1,7748.35,85.15,16-30,0
80,Carretera al Salvador,Casa,120,3,2,4,0,0,7.57,0.78,3,2,1,0,0,1,0,0,1,1,0,12510.73,104.26,0-5,0
81,Zona 14,Apartamento,75,3,2,13,8,1,1.71,1.1,2,4,1,0,1,1,0,1,0,0,1,11235.12,149.8,6-15,1
82,Zona 14,Apartamento,46,2,1,29,13,1,0.2,0.74,5,1,1,1,0,1,0,0,0,1,1,7718.16,167.79,16-30,1
83,Zona 10,Apartamento,81,3,1,5,18,1,1.5,2.74,5,1,1,0,1,1,0,0,0,1,1,13384.53,165.24,0-5,1
84,Zona 4,Apartamento,66,2,1,7,7,1,2.9,1.47,1,5,1,0,0,1,0,1,0,0,1,7419.04,112.41,6-15,0
85,Carretera al Salvador,Casa,110,3,3,28,0,0,7.74,1.91,4,2,0,0,1,1,1,1,0,1,0,10583.2,96.21,16-30,0
86,Zona 4,Apartamento,86,3,1,17,3,1,2.75,1.64,4,3,1,0,0,1,0,1,1,1,0,10054.08,116.91,16-30,0
87,Zona 5,Apartamento,100,4,4,10,10,1,4.68,1.39,1,5,0,0,1,0,0,0,0,1,1,8177.6,81.78,6-15,0
88,Zona 14,Apartamento,51,2,1,6,18,1,1.72,0.22,3,3,1,1,1,1,0,1,0,1,0,8845.12,173.43,6-15,1
89,Zona 7,Casa,139,4,4,12,0,0,5.64,1.79,4,1,0,0,0,0,0,1,0,0,1,10958.17,78.84,6-15,0
90,Zona 13,Apartamento,103,4,3,7,4,1,2.98,2.08,4,2,1,1,1,1,0,1,0,1,1,13256.6,128.7,6-15,0
91,Zona 7,Casa,150,4,4,0,0,0,5.4,2.15,4,2,0,0,0,0,0,0,1,2,0,12915.25,86.1,0-5,0
92,Zona 14,Apartamento,56,2,2,26,2,1,0.2,0.52,3,4,1,0,1,1,0,1,0,0,1,7865.31,140.45,16-30,1
93,Zona 15,Casa,158,5,4,20,0,0,2.69,2.12,3,3,0,0,1,0,0,1,1,0,1,17576.02,111.24,16-30,1
94,Zona 4,Apartamento,98,4,2,19,3,1,1.39,0.47,1,5,1,0,1,0,0,1,0,1,1,9977.29,101.81,16-30,0
95,Zona 13,Apartamento,90,3,2,13,3,0,1.49,3.8,3,4,1,0,1,1,0,1,0,2,1,10320.23,114.67,6-15,0
96,Zona 10,Apartamento,80,3,2,4,17,1,0.61,1.79,1,5,1,0,0,1,0,0,0,1,0,11245.5,140.57,0-5,1
97,Zona 4,Apartamento,101,4,4,11,4,1,4.29,1.53,3,2,1,0,0,1,0,1,1,0,1,11915.66,117.98,6-15,0
98,Zona 18,Apartamento,89,3,2,15,8,1,6.05,1.04,2,2,1,0,1,0,0,1,1,0,1,6917.66,77.73,6-15,0
99,Zona 10,Apartamento,74,3,3,11,7,1,1.7,0.48,1,5,1,1,0,0,0,0,0,1,0,9525.28,128.72,6-15,1
100,Zona 10,Apartamento,62,2,2,2,17,1,1.09,1.39,2,4,1,1,1,1,0,1,0,1,0,9757.57,157.38,0-5,1
101,Carretera al Salvador,Apartamento,124,4,3,27,6,1,9.01,2.11,1,5,1,0,0,0,0,1,0,1,0,10199.86,82.26,16-30,0
102,Carretera al Salvador,Casa,135,4,3,17,0,0,7.58,1.35,5,2,1,1,0,0,0,1,0,1,1,14501.99,107.42,16-30,0
103,Zona 7,Casa,105,3,2,8,0,0,4.69,0.52,4,2,1,1,0,1,0,1,1,1,1,9151.67,87.16,6-15,0
104,Zona 15,Apartamento,98,4,3,3,5,1,2.57,2.74,5,1,1,1,1,1,0,1,1,1,0,15565.19,158.83,0-5,1
105,Zona 16,Casa,189,5,5,28,0,0,3.36,1.21,4,3,1,1,0,0,0,0,0,0,0,19135.58,101.25,16-30,0
106,Zona 16,Apartamento,61,2,2,2,4,1,3.5,0.78,2,4,0,0,1,1,0,0,0,2,1,7776.99,127.49,0-5,0
107,Zona 16,Apartamento,103,4,2,14,3,0,3.83,0.54,3,2,1,0,0,1,0,1,0,1,1,12455.25,120.92,6-15,0
108,Zona 14,Casa,78,2,2,7,0,0,1.98,0.2,2,5,1,0,1,0,1,1,0,1,1,11344.78,145.45,6-15,1
109,Zona 10,Casa,99,3,2,9,0,0,1.21,1.94,1,5,1,0,1,1,0,0,0,1,0,11940.92,120.62,6-15,1
110,Zona 14,Apartamento,112,4,3,23,5,1,0.2,1.43,5,2,1,1,1,1,0,0,1,2,0,17941.84,160.2,16-30,1
111,Zona 9,Apartamento,98,4,3,0,9,1,1.47,1.38,4,2,1,0,0,1,0,1,0,1,0,14223.23,145.14,0-5,0
112,Zona 7,Casa,90,3,2,22,0,0,5.77,1.88,1,5,1,1,1,0,1,0,1,1,0,6635.1,73.72,16-30,0
113,Zona 5,Casa,70,2,1,24,0,0,2.79,1.16,3,3,0,0,0,0,0,0,1,0,1,5331.36,76.16,16-30,0
114,Zona 9,Apartamento,59,2,1,20,14,1,0.9,0.63,5,1,1,0,0,1,0,1,0,2,0,8700.56,147.47,16-30,0
115,Zona 10,Apartamento,92,3,3,6,2,1,0.2,0.32,2,4,1,1,1,1,0,1,0,0,1,13203.76,143.52,6-15,1
116,Carretera al Salvador,Apartamento,99,4,5,24,2,0,6.53,0.48,3,2,0,1,1,0,0,1,0,2,1,9969.23,100.7,16-30,0
117,Zona 14,Apartamento,95,3,3,12,1,1,0.98,2.83,2,4,1,1,0,0,0,0,0,1,0,13211.66,139.07,6-15,1
118,Carretera al Salvador,Casa,205,6,5,25,0,0,8.44,2.42,5,3,1,0,1,0,0,0,0,1,0,19050.44,92.93,16-30,0
119,Carretera al Salvador,Casa,137,4,3,33,0,0,9.43,2.01,1,5,1,0,1,0,0,0,0,0,0,9918.08,72.39,30+,0
120,Zona 15,Apartamento,105,4,4,13,9,1,2.24,2.91,5,2,1,1,1,0,1,1,0,1,1,15384.13,146.52,6-15,1
121,Zona 4,Apartamento,83,3,2,0,8,1,3.35,2.22,1,5,1,1,0,1,0,0,0,1,0,9872.55,118.95,0-5,0
122,Zona 14,Apartamento,98,4,3,15,10,1,2.0,1.27,4,2,1,1,1,0,1,0,0,1,0,16627.87,169.67,6-15,1
123,Zona 16,Casa,85,2,1,23,0,0,3.21,2.02,5,1,1,0,1,1,0,1,0,2,1,10118.92,119.05,16-30,0
124,Zona 16,Apartamento,72,3,2,20,7,1,5.17,1.46,3,2,0,0,1,0,0,1,0,1,0,8364.77,116.18,16-30,0
125,Zona 18,Casa,157,4,4,15,0,0,7.31,1.74,1,4,1,0,0,0,0,0,0,2,0,9796.16,62.4,6-15,0
126,Zona 14,Apartamento,61,2,1,10,8,1,1.18,0.61,2,4,1,1,1,1,0,0,1,1,0,9743.44,159.73,6-15,1
127,Carretera al Salvador,Casa,170,5,3,22,0,0,6.47,1.05,3,4,1,0,0,0,0,1,0,1,1,14969.28,88.05,16-30,0
128,Zona 4,Apartamento,92,3,2,25,6,1,1.96,1.84,4,2,1,1,0,1,0,0,0,1,0,10620.33,115.44,16-30,0
129,Zona 10,Apartamento,52,2,1,0,4,1,2.38,0.78,3,2,1,0,1,0,0,0,1,0,0,8893.85,171.04,0-5,1
130,Carretera al Salvador,Apartamento,96,3,2,2,4,1,6.7,2.3,5,1,1,0,1,1,1,0,0,1,1,12559.4,130.83,0-5,0
131,Zona 10,Casa,70,2,1,20,0,0,0.87,0.82,4,2,1,0,0,1,0,1,0,1,0,9149.13,130.7,16-30,1
132,Zona 14,Apartamento,81,3,3,12,11,1,1.74,1.7,2,4,1,1,1,0,0,0,0,1,1,12468.62,153.93,6-15,1
133,Zona 16,Casa,115,3,2,27,0,0,3.57,0.88,3,3,1,1,1,1,0,1,0,1,1,12130.81,105.49,16-30,0
134,Zona 18,Apartamento,85,3,2,35,1,0,6.18,3.28,4,3,0,0,1,0,0,0,0,1,0,5382.1,63.32,30+,0
135,Carretera al Salvador,Casa,127,4,3,25,0,0,7.73,1.4,4,4,1,1,1,0,1,0,0,1,1,11628.94,91.57,16-30,0
136,Carretera al Salvador,Apartamento,112,4,3,1,10,1,8.24,3.0,3,3,1,1,1,1,0,1,0,0,1,13163.53,117.53,0-5,0
137,Zona 10,Casa,116,3,2,15,0,0,1.65,0.7,1,5,1,1,0,0,0,1,0,1,1,13435.88,115.83,6-15,1
138,Zona 7,Casa,82,2,2,13,0,0,3.92,2.4,3,4,0,0,0,1,1,0,1,0,1,6618.05,80.71,6-15,0
139,Carretera al Salvador,Casa,137,4,3,25,0,0,9.01,2.22,5,2,1,0,0,1,0,1,0,0,1,13016.89,95.01,16-30,0
140,Zona 9,Casa,83,2,2,15,0,0,1.74,0.54,4,3,1,0,0,1,0,1,0,0,1,10097.36,121.65,6-15,0
141,Zona 10,Apartamento,71,3,2,6,13,1,2.24,1.02,4,2,1,1,0,0,0,0,0,3,0,12122.32,170.74,6-15,1
142,Zona 14,Apartamento,83,3,3,33,3,1,0.2,0.96,4,3,1,1,1,0,0,1,0,1,0,11642.47,140.27,30+,1
143,Zona 10,Apartamento,64,2,1,20,16,1,1.32,0.51,1,4,1,1,1,0,0,0,0,0,1,8221.59,128.46,16-30,1
144,Zona 13,Apartamento,95,3,1,27,8,1,2.66,1.86,3,5,0,1,1,0,0,1,0,0,0,9854.24,103.73,16-30,0
145,Zona 14,Apartamento,70,2,1,1,12,1,1.2,1.43,3,3,1,0,1,1,0,0,0,1,0,11848.8,169.27,0-5,1
146,Zona 9,Apartamento,94,3,2,2,7,1,0.78,1.34,2,5,1,1,1,1,1,1,0,1,0,11911.63,126.72,0-5,0
147,Zona 10,Apartamento,95,3,2,30,1,1,0.2,0.47,2,5,0,0,1,0,0,1,0,1,1,10857.74,114.29,16-30,1
148,Zona 15,Apartamento,82,3,2,15,5,1,3.03,1.6,3,2,1,0,1,1,0,0,0,0,0,11027.11,134.48,6-15,1
149,Zona 9,Apartamento,107,4,3,45,13,1,0.77,1.58,4,4,1,1,1,1,0,0,0,1,0,11394.18,106.49,30+,0
150,Zona 10,Apartamento,71,3,3,18,5,1,1.03,1.9,1,5,1,0,0,0,0,1,0,1,0,8873.64,124.98,16-30,1
151,Zona 13,Apartamento,72,3,3,5,3,1,3.35,1.03,1,5,1,1,0,1,0,1,0,0,1,8281.14,115.02,0-5,0
152,Carretera al Salvador,Apartamento,92,3,2,20,5,1,8.97,4.21,2,3,1,1,0,0,0,1,0,1,0,8552.18,92.96,16-30,0
153,Zona 10,Casa,93,3,2,17,0,0,1.73,0.2,4,2,1,1,0,1,0,0,0,2,1,12990.18,139.68,16-30,1
154,Zona 9,Apartamento,47,2,2,19,1,1,1.23,1.3,1,5,1,0,1,0,0,1,0,2,1,5558.71,118.27,16-30,0
155,Zona 10,Apartamento,66,2,1,9,3,1,1.61,0.7,3,3,1,1,1,1,0,1,0,1,1,10142.15,153.67,6-15,1
156,Zona 15,Apartamento,81,3,2,7,6,1,3.25,3.08,5,1,0,1,0,1,0,1,1,1,1,12008.54,148.25,6-15,1
157,Carretera al Salvador,Casa,175,5,4,19,0,0,8.62,3.02,3,3,1,0,1,0,0,1,1,1,0,15925.97,91.01,16-30,0
158,Zona 14,Apartamento,38,1,1,9,18,1,1.01,1.43,3,2,1,1,1,1,0,1,0,1,1,7059.96,185.79,6-15,1
159,Zona 5,Apartamento,78,3,1,29,2,1,3.52,1.95,2,3,1,0,0,1,0,1,1,1,1,6117.87,78.43,16-30,0
160,Carretera al Salvador,Apartamento,74,3,3,9,7,1,6.76,1.74,3,2,0,1,0,0,0,1,1,1,0,8556.4,115.63,6-15,0
161,Zona 16,Casa,139,4,2,7,0,0,3.97,0.22,1,5,0,0,0,0,0,0,0,2,1,13941.48,100.3,6-15,0
162,Zona 16,Casa,155,4,4,12,0,0,2.72,3.46,3,2,1,0,0,0,0,0,1,2,0,17422.39,112.4,6-15,0
163,Zona 13,Apartamento,119,4,4,18,8,1,3.06,3.95,1,4,1,0,1,1,0,1,1,1,1,12630.59,106.14,16-30,0
164,Zona 7,Casa,134,4,2,6,0,0,5.38,2.7,1,4,1,0,0,1,0,0,0,0,1,9663.84,72.12,6-15,0
165,Carretera al Salvador,Casa,185,5,5,29,0,0,8.19,3.5,2,5,0,0,0,1,0,1,1,0,1,14457.28,78.15,16-30,0
166,Zona 16,Casa,175,5,3,13,0,0,4.29,1.93,4,2,1,0,1,0,0,0,1,0,0,19478.85,111.31,6-15,0
167,Zona 10,Apartamento,43,2,1,15,5,1,1.75,0.9,3,3,1,0,0,1,0,1,0,1,0,6267.19,145.75,6-15,1
168,Zona 4,Apartamento,73,3,3,27,3,1,2.33,1.72,1,5,1,1,0,1,0,1,0,1,1,7231.93,99.07,16-30,0
169,Zona 14,Apartamento,84,3,1,19,17,1,1.65,0.2,2,4,1,1,1,1,0,1,0,1,0,12291.83,146.33,16-30,1
170,Zona 15,Apartamento,88,3,2,7,4,1,3.62,3.07,5,1,0,1,0,1,1,0,1,1,1,13688.0,155.55,6-15,1
171,Carretera al Salvador,Apartamento,99,4,3,11,10,1,7.79,2.5,4,3,1,1,0,0,0,0,0,0,1,11458.14,115.74,6-15,0
172,Zona 9,Casa,179,5,5,24,0,0,0.26,2.7,2,3,0,0,0,1,0,1,0,1,0,18104.78,101.14,16-30,0
173,Zona 14,Casa,132,4,4,14,0,0,1.52,0.81,4,1,1,1,1,0,0,1,0,1,0,19497.99,147.71,6-15,1
174,Zona 15,Apartamento,93,3,3,17,5,1,2.61,1.8,2,3,0,1,1,1,1,0,0,0,0,12395.33,133.28,16-30,1
175,Zona 9,Apartamento,70,2,1,29,12,1,1.92,0.99,1,5,0,1,1,0,0,1,0,0,1,7263.29,103.76,16-30,0
176,Zona 16,Apartamento,86,3,2,18,1,1,4.18,2.77,3,3,1,1,0,0,0,0,0,1,0,10445.28,121.46,16-30,0
177,Zona 13,Apartamento,76,3,2,11,6,1,1.92,3.37,2,4,1,1,0,0,0,0,0,0,1,8413.34,110.7,6-15,0
178,Zona 4,Apartamento,82,3,1,21,8,1,2.74,1.88,3,3,1,1,1,1,0,1,0,2,0,10108.14,123.27,16-30,0
179,Zona 18,Apartamento,93,3,2,1,2,1,7.24,1.86,4,1,1,1,1,0,0,1,0,1,1,7749.87,83.33,0-5,0
180,Zona 7,Apartamento,79,3,2,16,7,1,4.08,1.98,5,1,1,0,0,0,0,1,1,1,0,7707.6,97.56,16-30,0
181,Carretera al Salvador,Casa,199,6,5,16,0,0,7.38,3.49,3,3,1,0,0,0,0,1,0,2,0,18241.96,91.67,16-30,0
182,Carretera al Salvador,Casa,161,5,5,18,0,0,8.07,0.52,2,4,1,0,0,1,1,1,1,0,1,14344.76,89.1,16-30,0
183,Zona 18,Casa,195,6,4,8,0,0,6.32,1.19,5,1,0,1,0,0,0,0,1,0,1,14665.4,75.21,6-15,0
184,Zona 10,Apartamento,58,2,1,8,13,1,2.43,0.63,1,4,1,1,0,1,0,1,0,0,0,8152.96,140.57,6-15,1
185,Zona 10,Apartamento,43,2,1,2,9,1,1.18,1.56,3,2,1,0,1,1,1,1,0,1,0,7633.94,177.53,0-5,1
186,Zona 16,Apartamento,59,2,1,2,10,1,4.09,1.93,2,5,0,0,0,0,0,1,0,1,1,7426.69,125.88,0-5,0
187,Zona 16,Casa,148,4,3,33,0,0,5.05,3.41,5,1,1,1,1,1,0,0,0,0,1,15337.81,103.63,30+,0
188,Zona 9,Apartamento,53,2,1,19,4,1,1.3,0.88,1,5,1,0,0,1,0,0,0,1,1,5973.71,112.71,16-30,0
189,Zona 9,Apartamento,77,3,2,11,6,1,3.29,2.49,1,4,1,1,1,0,0,1,0,2,0,9436.21,122.55,6-15,0
190,Zona 7,Apartamento,97,3,3,19,6,1,3.79,1.33,2,4,1,0,0,0,0,0,1,0,0,6987.43,72.04,16-30,0
191,Zona 10,Apartamento,82,3,2,31,10,1,0.87,0.69,2,5,1,1,1,1,1,1,0,0,0,10541.77,128.56,30+,1
192,Zona 9,Apartamento,78,3,3,24,17,1,1.44,1.12,1,5,1,1,0,1,0,1,0,1,0,8948.95,114.73,16-30,0
193,Zona 18,Casa,70,2,1,14,0,0,5.65,2.88,4,1,0,0,0,0,0,0,1,0,1,5034.98,71.93,6-15,0
